game_id,game_date,season,home_team_id,away_team_id,y_margin,home_win_pct_to_date,away_win_pct_to_date,win_pct_diff,home_avg_margin_to_date,away_avg_margin_to_date,home_last10_margin,away_last10_margin,last10_margin_diff,home_home_margin_to_date,away_away_margin_to_date,home_rest_days,away_rest_days,rest_diff,home_b2b,away_b2b,home_games_to_date,away_games_to_date
22400096,2024-10-26,2024-25,1610612747,1610612758,4,1.0,0.0,1.0,7.0,-2.0,7.0,-2.0,9.0,7.0,0.0,0,1,-1,1,0,2,1
22400097,2024-10-27,2024-25,1610612754,1610612755,-4,0.5,0.0,0.5,-9.5,-11.5,-9.5,-11.5,2.0,0.0,-8.0,1,1,0,0,0,2,2
22400098,2024-10-27,2024-25,1610612751,1610612749,13,0.0,0.5,-0.5,-9.5,2.0,-9.5,2.0,-11.5,0.0,15.0,1,1,0,0,0,2,2
22400099,2024-10-27,2024-25,1610612757,1610612740,22,0.0,1.0,-1.0,-19.0,7.0,-19.0,7.0,-26.0,-19.0,2.0,1,1,0,0,0,2,2
22400100,2024-10-27,2024-25,1610612760,1610612737,24,1.0,1.0,0.0,17.0,4.5,17.0,4.5,12.5,0.0,0.0,0,1,-1,1,0,2,2
22400101,2024-10-27,2024-25,1610612744,1610612746,-8,1.0,0.5,0.5,38.5,1.0,38.5,1.0,37.5,0.0,5.0,1,0,1,0,1,2,2
22400102,2024-10-28,2024-25,1610612753,1610612754,4,0.6666666666666666,0.3333333333333333,0.3333333333333333,7.0,-7.666666666666667,7.0,-7.666666666666667,14.666666666666668,15.0,-9.5,1,0,1,0,1,3,3
22400103,2024-10-28,2024-25,1610612737,1610612764,-2,0.6666666666666666,0.0,0.6666666666666666,-5.0,-19.5,-5.0,-19.5,14.5,4.5,0.0,0,1,-1,1,0,3,2
22400104,2024-10-28,2024-25,1610612738,1610612749,11,1.0,0.3333333333333333,0.6666666666666667,16.333333333333332,-3.0,16.333333333333332,-3.0,19.333333333333332,23.0,1.0,1,0,1,0,1,3,3
22400105,2024-10-28,2024-25,1610612748,1610612765,8,0.5,0.0,0.5,-5.5,-8.0,-5.5,-8.0,2.5,-19.0,-12.0,1,1,0,0,0,2,3
22400106,2024-10-28,2024-25,1610612752,1610612739,-6,0.5,1.0,-0.5,1.0,20.333333333333332,1.0,20.333333333333332,-19.333333333333332,25.0,24.5,2,1,1,0,0,2,3
22400107,2024-10-28,2024-25,1610612761,1610612743,-2,0.3333333333333333,0.0,0.3333333333333333,-11.0,-10.0,-11.0,-10.0,-1.0,-11.0,0.0,1,1,0,0,0,3,2
22400108,2024-10-28,2024-25,1610612763,1610612741,-3,0.6666666666666666,0.3333333333333333,0.3333333333333333,-1.6666666666666667,-6.666666666666667,-1.6666666666666667,-6.666666666666667,5.0,13.0,-0.5,1,1,0,0,0,3,3
22400109,2024-10-28,2024-25,1610612759,1610612745,-5,0.5,0.3333333333333333,0.16666666666666669,-4.0,4.0,-4.0,4.0,-8.0,3.0,-3.0,1,1,0,0,0,2,3
22400110,2024-10-28,2024-25,1610612742,1610612762,8,0.5,0.0,0.5,-0.5,-21.5,-0.5,-21.5,21.0,11.0,0.0,1,2,-1,0,0,2,2
22400111,2024-10-28,2024-25,1610612756,1610612747,4,0.6666666666666666,1.0,-0.33333333333333337,2.6666666666666665,6.0,2.6666666666666665,6.0,-3.3333333333333335,12.0,0.0,1,1,0,0,0,3,3
